pyflate: 850 ms
=== by cumulative time ===
         938628 function calls (936718 primitive calls) in 0.973 seconds

   Ordered by: cumulative time
   List reduced from 1335 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.974    0.974 /usr/lib/python3.10/runpy.py:260(run_path)
     87/2    0.000    0.000    0.967    0.483 {built-in method builtins.exec}
        1    0.000    0.000    0.966    0.966 /usr/lib/python3.10/runpy.py:89(_run_module_code)
        1    0.000    0.000    0.966    0.966 /usr/lib/python3.10/runpy.py:63(_run_code)
        1    0.000    0.000    0.966    0.966 benchmarks/pyflate/run_benchmark_opt.py:1(<module>)
        1    0.000    0.000    0.864    0.864 /root/proj/venv/lib/python3.10/site-packages/pyperf/_runner.py:485(bench_time_func)
        1    0.000    0.000    0.863    0.863 /root/proj/venv/lib/python3.10/site-packages/pyperf/_runner.py:455(_main)
        1    0.000    0.000    0.863    0.863 /root/proj/venv/lib/python3.10/site-packages/pyperf/_runner.py:434(_worker)
        1    0.000    0.000    0.863    0.863 /root/proj/venv/lib/python3.10/site-packages/pyperf/_worker.py:298(create_run)
        1    0.000    0.000    0.863    0.863 /root/proj/venv/lib/python3.10/site-packages/pyperf/_worker.py:353(compute)
        1    0.000    0.000    0.863    0.863 /root/proj/venv/lib/python3.10/site-packages/pyperf/_worker.py:275(compute)
        1    0.000    0.000    0.851    0.851 /root/proj/venv/lib/python3.10/site-packages/pyperf/_worker.py:264(compute_warmups_values)
        1    0.000    0.000    0.851    0.851 /root/proj/venv/lib/python3.10/site-packages/pyperf/_worker.py:46(_compute_values)
        1    0.000    0.000    0.851    0.851 /root/proj/venv/lib/python3.10/site-packages/pyperf/_runner.py:496(task_func)
        1    0.000    0.000    0.851    0.851 benchmarks/pyflate/run_benchmark_opt.py:725(bench_pyflake)
        1    0.001    0.001    0.850    0.850 benchmarks/pyflate/run_benchmark_opt.py:553(bzip2_main)
        1    0.154    0.154    0.849    0.849 benchmarks/pyflate/run_benchmark_opt.py:488(decode_huffman_block)
   148271    0.241    0.000    0.434    0.000 benchmarks/pyflate/run_benchmark_opt.py:312(find_next_symbol)
        1    0.059    0.059    0.159    0.159 benchmarks/pyflate/run_benchmark_opt.py:398(bwt_reverse)
   156708    0.104    0.000    0.105    0.000 benchmarks/pyflate/run_benchmark_opt.py:175(readbits)
        1    0.075    0.075    0.100    0.100 benchmarks/pyflate/run_benchmark_opt.py:383(bwt_transform)
    120/7    0.001    0.000    0.100    0.014 <frozen importlib._bootstrap>:1022(_find_and_load)
    120/7    0.000    0.000    0.099    0.014 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    114/7    0.001    0.000    0.098    0.014 <frozen importlib._bootstrap>:664(_load_unlocked)
     86/6    0.000    0.000    0.098    0.016 <frozen importlib._bootstrap_external>:877(exec_module)



=== by self (tottime) ===
         938628 function calls (936718 primitive calls) in 0.973 seconds

   Ordered by: internal time
   List reduced from 1335 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   148271    0.241    0.000    0.434    0.000 benchmarks/pyflate/run_benchmark_opt.py:312(find_next_symbol)
        1    0.154    0.154    0.849    0.849 benchmarks/pyflate/run_benchmark_opt.py:488(decode_huffman_block)
   156708    0.104    0.000    0.105    0.000 benchmarks/pyflate/run_benchmark_opt.py:175(readbits)
        1    0.075    0.075    0.100    0.100 benchmarks/pyflate/run_benchmark_opt.py:383(bwt_transform)
        1    0.059    0.059    0.159    0.159 benchmarks/pyflate/run_benchmark_opt.py:398(bwt_reverse)
   148271    0.059    0.000    0.093    0.000 benchmarks/pyflate/run_benchmark_opt.py:170(snoopbits)
        7    0.023    0.003    0.026    0.004 {built-in method builtins.sorted}
    92816    0.023    0.000    0.023    0.000 {method 'insert' of 'list' objects}
    92803    0.019    0.000    0.019    0.000 {method 'pop' of 'list' objects}
   134340    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
     8446    0.014    0.000    0.030    0.000 benchmarks/pyflate/run_benchmark_opt.py:164(_more)
       22    0.013    0.001    0.021    0.001 {method 'sub' of 're.Pattern' objects}
       86    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
     8446    0.010    0.000    0.013    0.000 benchmarks/pyflate/run_benchmark_opt.py:88(_read)
        3    0.008    0.003    0.008    0.003 {method 'join' of 'bytes' objects}
        2    0.006    0.003    0.006    0.003 {built-in method builtins.compile}
     8542    0.006    0.000    0.008    0.000 benchmarks/pyflate/run_benchmark_opt.py:548(<lambda>)
     8446    0.005    0.000    0.035    0.000 benchmarks/pyflate/run_benchmark_opt.py:100(needbits)
   205/67    0.005    0.000    0.014    0.000 /usr/lib/python3.10/sre_parse.py:494(_parse)
  304/301    0.005    0.000    0.017    0.000 {built-in method builtins.__build_class__}
30879/30508    0.004    0.000    0.005    0.000 {built-in method builtins.len}
        1    0.004    0.004    0.011    0.011 benchmarks/pyflate/run_benchmark_opt.py:449(compute_selectors_list)
       47    0.003    0.000    0.007    0.000 /usr/lib/python3.10/collections/__init__.py:328(namedtuple)
       47    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
       93    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}


